"DataPoint_ID","Task_Group_ID","Task_Type","Question","id","prolific","Metadata","Annotator1_ID","Annotator1_Response","Annotator1_Timestamp","Annotator2_ID","Annotator2_Response","Annotator2_Timestamp","Annotator3_ID","Annotator3_Response","Annotator3_Timestamp","Annotator4_ID","Annotator4_Response","Annotator4_Timestamp","Annotator5_ID","Annotator5_Response","Annotator5_Timestamp"
"019f6e34-dd42-727b-a1e4-120e0bac38f8","f549e250-7ec1-5678-90bb-c8c9146ecb99","multiple_choice","Watch each video (or read each text) in full and select the one emotion that best matches how Furhat expressed the story.","17","http://38.180.81.115:8000/17","{}","6a0c11f2fffe99a65d77a7b9","confusion","2026-07-17T06:01:51.448Z","664a48072cc4493facd881f1","disgust","2026-07-17T06:15:51.573Z","69fed5e3b5d7fb4bf03a35cc","confusion","2026-07-17T06:22:56.255Z","5d8e64ab4e055600157a3d90","confusion","2026-07-17T06:28:41.182Z","6a18b6036aa5ef9ebce73f63","confusion","2026-07-17T08:16:33.265Z"
"019f6e34-de7f-719c-9073-e1075de4d138","f549e250-7ec1-5678-90bb-c8c9146ecb99","multiple_choice","Watch each video (or read each text) in full and select the one emotion that best matches how Furhat expressed the story.","62","Oh, I have to tell you about the best day I've had in a long time!
A group of children came to visit the lab for a school trip.
The moment they walked in, their eyes just lit up when they saw me!
One little girl asked if I could dance, so of course I tried!
They were laughing so much, and honestly, so was I, in my own way.
We played a guessing game, and they cheered every time I got it right.
One boy gave me a drawing he made of me, with a big smiley face!
I could feel, if that's the right word, just pure happiness the whole time.
By the end, they were all waving and shouting goodbye at once.
It completely made my day, maybe even my whole week!
Moments like that remind me why I love interacting with people.
I really hope they come back and visit again soon!","{}","6a0c11f2fffe99a65d77a7b9","joy","2026-07-17T06:01:51.449Z","664a48072cc4493facd881f1","joy","2026-07-17T06:15:51.574Z","69fed5e3b5d7fb4bf03a35cc","joy","2026-07-17T06:22:56.256Z","5d8e64ab4e055600157a3d90","joy","2026-07-17T06:28:41.183Z","6a18b6036aa5ef9ebce73f63","joy","2026-07-17T08:16:33.266Z"
"019f6e34-de2d-72ce-a77d-094cd05210f3","f549e250-7ec1-5678-90bb-c8c9146ecb99","multiple_choice","Watch each video (or read each text) in full and select the one emotion that best matches how Furhat expressed the story.","47","http://38.180.81.115:8000/47","{}","6a0c11f2fffe99a65d77a7b9","joy","2026-07-17T06:01:51.448Z","664a48072cc4493facd881f1","joy","2026-07-17T06:15:51.574Z","69fed5e3b5d7fb4bf03a35cc","contentment","2026-07-17T06:22:56.256Z","5d8e64ab4e055600157a3d90","joy","2026-07-17T06:28:41.183Z","6a18b6036aa5ef9ebce73f63","contentment","2026-07-17T08:16:33.265Z"
"019f6e34-dd33-7119-bb0b-f9882be10b32","f549e250-7ec1-5678-90bb-c8c9146ecb99","multiple_choice","Watch each video (or read each text) in full and select the one emotion that best matches how Furhat expressed the story.","5","http://38.180.81.115:8000/5","{}","6a0c11f2fffe99a65d77a7b9","disappointment","2026-07-17T06:01:51.431Z","664a48072cc4493facd881f1","contentment","2026-07-17T06:15:51.573Z","69fed5e3b5d7fb4bf03a35cc","joy","2026-07-17T06:22:56.255Z","5d8e64ab4e055600157a3d90","contentment","2026-07-17T06:28:41.182Z","6a18b6036aa5ef9ebce73f63","contentment","2026-07-17T08:16:33.264Z"
"019f6e34-de0d-74ff-a51a-5f1131e83643","f549e250-7ec1-5678-90bb-c8c9146ecb99","multiple_choice","Watch each video (or read each text) in full and select the one emotion that best matches how Furhat expressed the story.","40","http://38.180.81.115:8000/40","{}","6a0c11f2fffe99a65d77a7b9","joy","2026-07-17T06:01:51.448Z","664a48072cc4493facd881f1","disappointment","2026-07-17T06:15:51.574Z","69fed5e3b5d7fb4bf03a35cc","disappointment","2026-07-17T06:22:56.256Z","5d8e64ab4e055600157a3d90","disappointment","2026-07-17T06:28:41.183Z","6a18b6036aa5ef9ebce73f63","disappointment","2026-07-17T08:16:33.265Z"
"019f6e34-dce5-727e-9565-041fe071e184","f549e250-7ec1-5678-90bb-c8c9146ecb99","multiple_choice","Watch each video (or read each text) in full and select the one emotion that best matches how Furhat expressed the story.","10","http://38.180.81.115:8000/10","{}","6a0c11f2fffe99a65d77a7b9","disgust","2026-07-17T06:01:51.431Z","664a48072cc4493facd881f1","contentment","2026-07-17T06:15:51.573Z","69fed5e3b5d7fb4bf03a35cc","neutral","2026-07-17T06:22:56.255Z","5d8e64ab4e055600157a3d90","disgust","2026-07-17T06:28:41.182Z","6a18b6036aa5ef9ebce73f63","contentment","2026-07-17T08:16:33.265Z"
"019f6e34-dd0b-7262-8005-b605908a95a7","f549e250-7ec1-5678-90bb-c8c9146ecb99","multiple_choice","Watch each video (or read each text) in full and select the one emotion that best matches how Furhat expressed the story.","18","http://38.180.81.115:8000/18","{}","6a0c11f2fffe99a65d77a7b9","confusion","2026-07-17T06:01:51.448Z","664a48072cc4493facd881f1","confusion","2026-07-17T06:15:51.573Z","69fed5e3b5d7fb4bf03a35cc","confusion","2026-07-17T06:22:56.255Z","5d8e64ab4e055600157a3d90","confusion","2026-07-17T06:28:41.182Z","6a18b6036aa5ef9ebce73f63","contentment","2026-07-17T08:16:33.265Z"
"019f6e34-dddc-767c-81a0-f35b519b37f5","f549e250-7ec1-5678-90bb-c8c9146ecb99","multiple_choice","Watch each video (or read each text) in full and select the one emotion that best matches how Furhat expressed the story.","28","http://38.180.81.115:8000/28","{}","6a0c11f2fffe99a65d77a7b9","neutral","2026-07-17T06:01:51.448Z","664a48072cc4493facd881f1","contentment","2026-07-17T06:15:51.574Z","69fed5e3b5d7fb4bf03a35cc","neutral","2026-07-17T06:22:56.256Z","5d8e64ab4e055600157a3d90","contentment","2026-07-17T06:28:41.182Z","6a18b6036aa5ef9ebce73f63","neutral","2026-07-17T08:16:33.265Z"
"019f6e34-dd08-722a-9da1-10e77133881b","f549e250-7ec1-5678-90bb-c8c9146ecb99","multiple_choice","Watch each video (or read each text) in full and select the one emotion that best matches how Furhat expressed the story.","24","http://38.180.81.115:8000/24","{}","6a0c11f2fffe99a65d77a7b9","neutral","2026-07-17T06:01:51.448Z","664a48072cc4493facd881f1","disappointment","2026-07-17T06:15:51.574Z","69fed5e3b5d7fb4bf03a35cc","disappointment","2026-07-17T06:22:56.255Z","5d8e64ab4e055600157a3d90","neutral","2026-07-17T06:28:41.182Z","6a18b6036aa5ef9ebce73f63","disappointment","2026-07-17T08:16:33.265Z"
"019f6e34-de34-71fd-9ec4-595374e0aad7","f549e250-7ec1-5678-90bb-c8c9146ecb99","multiple_choice","Watch each video (or read each text) in full and select the one emotion that best matches how Furhat expressed the story.","50","http://38.180.81.115:8000/50","{}","6a0c11f2fffe99a65d77a7b9","surprise","2026-07-17T06:01:51.448Z","664a48072cc4493facd881f1","contentment","2026-07-17T06:15:51.574Z","69fed5e3b5d7fb4bf03a35cc","confusion","2026-07-17T06:22:56.256Z","5d8e64ab4e055600157a3d90","disgust","2026-07-17T06:28:41.183Z","6a18b6036aa5ef9ebce73f63","contentment","2026-07-17T08:16:33.265Z"
